X,Y,Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId
-79.3866196,43.6486397,201,1787320,2006,D52,Shooting,2006-10-27T04:00:00.000Z,77,Waterfront Communities-The Island (77),43.6486397,-79.3866196,1
-79.3049393,43.7159882,202,1470621,2006,D54,Stabbing,2006-11-05T05:00:00.000Z,43,Victoria Village (43),43.7159882,-79.3049393,2
-79.3049393,43.7159882,203,1470621,2006,D54,Stabbing,2006-11-05T05:00:00.000Z,43,Victoria Village (43),43.7159882,-79.3049393,3
-79.2286911,43.809391,204,1448992,2006,D42,Shooting,2006-11-14T05:00:00.000Z,132,Malvern (132),43.809391,-79.2286911,4
-79.4844818,43.649334,205,1945800,2006,D11,Other,2006-11-25T05:00:00.000Z,87,High Park-Swansea (87),43.649334,-79.4844818,5
-79.3939285,43.6427383,206,1796411,2006,D14,Shooting,2006-12-03T05:00:00.000Z,77,Waterfront Communities-The Island (77),43.6427383,-79.3939285,6
-79.1971359,43.796772,207,1462848,2006,D42,Other,2006-12-03T05:00:00.000Z,132,Malvern (132),43.796772,-79.1971359,7
-79.3586884,43.6624184,208,1451923,2006,D51,Other,2006-12-20T05:00:00.000Z,72,Regent Park (72),43.6624184,-79.3586884,8
-79.4273758,43.6389618,209,1501929,2006,D14,Shooting,2006-12-25T05:00:00.000Z,85,South Parkdale (85),43.6389618,-79.4273758,9
-79.5734711,43.7257538,210,1490523,2006,D23,Stabbing,2006-12-26T05:00:00.000Z,4,Rexdale-Kipling (4),43.7257538,-79.5734711,10
-79.5188217,43.7619209,211,1932560,2006,D31,Shooting,2006-12-27T05:00:00.000Z,24,Black Creek (24),43.7619209,-79.5188217,11
-79.5601501,43.6473999,212,1904938,2006,D22,Other,2006-10-06T04:00:00.000Z,14,Islington-City Centre West (14),43.6473999,-79.5601501,12
-79.2282181,43.7999954,213,1875060,2007,D42,Shooting,2007-01-01T05:00:00.000Z,132,Malvern (132),43.7999954,-79.2282181,13
-79.3244934,43.712368,214,1763040,2007,D54,Shooting,2007-01-11T05:00:00.000Z,44,Flemingdon Park (44),43.712368,-79.3244934,14
-79.5153656,43.6998215,215,1441479,2007,D12,Other,2007-01-11T05:00:00.000Z,113,Weston (113),43.6998215,-79.5153656,15
-79.2683182,43.782032,216,1993783,2007,D42,Shooting,2007-01-14T05:00:00.000Z,128,Agincourt South-Malvern West (128),43.782032,-79.2683182,16
-79.4777756,43.6780205,217,1492036,2007,D12,Stabbing,2007-01-20T05:00:00.000Z,111,Rockcliffe-Smythe (111),43.6780205,-79.4777756,17
-79.2279053,43.7224388,218,1925141,2007,D43,Shooting,2007-02-04T05:00:00.000Z,123,Cliffcrest (123),43.7224388,-79.2279053,18
-79.5132065,43.7255173,219,1896894,2007,D31,Stabbing,2007-02-14T05:00:00.000Z,26,Downsview-Roding-CFB (26),43.7255173,-79.5132065,19
-79.2914658,43.7269974,220,2061133,2007,D41,Stabbing,2007-03-09T05:00:00.000Z,120,Clairlea-Birchmount (120),43.7269974,-79.2914658,20
-79.5483704,43.7487793,221,2065992,2007,D31,Shooting,2007-03-15T04:00:00.000Z,22,Humbermede (22),43.7487793,-79.5483704,21
-79.4408417,43.6926575,222,1564750,2007,D13,Shooting,2007-03-17T04:00:00.000Z,107,Oakwood Village (107),43.6926575,-79.4408417,22
-79.4123154,43.7804794,223,1438873,2007,D32,Other,2007-03-28T04:00:00.000Z,51,Willowdale East (51),43.7804794,-79.4123154,23
-79.5168915,43.7518196,224,2090220,2007,D31,Stabbing,2007-04-02T04:00:00.000Z,25,Glenfield-Jane Heights (25),43.7518196,-79.5168915,24
-79.3695602,43.6681747,225,2072766,2007,D51,Shooting,2007-04-04T04:00:00.000Z,71,Cabbagetown-South St.James Town (71),43.6681747,-79.3695602,25
-79.5870972,43.7536201,226,1447527,2007,D22,Shooting,2007-04-05T04:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.7536201,-79.5870972,26
-79.2262497,43.7622032,227,1606685,2007,D43,Other,2007-04-06T04:00:00.000Z,137,Woburn (137),43.7622032,-79.2262497,27
-79.4405365,43.7551231,228,2086798,2007,D32,Stabbing,2007-04-09T04:00:00.000Z,34,Bathurst Manor (34),43.7551231,-79.4405365,28
-79.3543396,43.6650505,229,1842715,2007,D43,Shooting,2007-04-12T04:00:00.000Z,68,North Riverdale (68),43.6650505,-79.3543396,29
-79.2632904,43.7333374,230,2003231,2007,D41,Stabbing,2007-04-13T04:00:00.000Z,124,Kennedy Park (124),43.7333374,-79.2632904,30
-79.5276794,43.7166977,231,2178693,2007,D31,Shooting,2007-04-21T04:00:00.000Z,26,Downsview-Roding-CFB (26),43.7166977,-79.5276794,31
-79.3507462,43.6777954,232,2021610,2007,D54,Stabbing,2007-04-22T04:00:00.000Z,67,Playter Estates-Danforth (67),43.6777954,-79.3507462,32
-79.3867874,43.6702271,233,1971014,2007,D51,Other,2007-04-29T04:00:00.000Z,75,Church-Yonge Corridor (75),43.6702271,-79.3867874,33
-79.1794968,43.8042831,234,2198590,2007,D42,Shooting,2007-05-09T04:00:00.000Z,131,Rouge (131),43.8042831,-79.1794968,34
-79.5520859,43.7267418,235,2226769,2007,D23,Other,2007-05-14T04:00:00.000Z,5,Elms-Old Rexdale (5),43.7267418,-79.5520859,35
-79.3901978,43.7084122,236,2163954,2007,D53,Shooting,2007-05-18T04:00:00.000Z,99,Mount Pleasant East (99),43.7084122,-79.3901978,36
-79.5401306,43.7417984,237,2044021,2007,D31,Shooting,2007-05-21T04:00:00.000Z,22,Humbermede (22),43.7417984,-79.5401306,37
-79.3495636,43.7518005,238,1902458,2007,D31,Shooting,2007-05-23T04:00:00.000Z,42,Banbury-Don Mills (42),43.7518005,-79.3495636,38
-79.4013138,43.6496735,239,2151831,2007,D14,Shooting,2007-05-20T04:00:00.000Z,78,Kensington-Chinatown (78),43.6496735,-79.4013138,39
-79.3627396,43.6515694,240,2226684,2007,D55,Other,2007-05-26T04:00:00.000Z,73,Moss Park (73),43.6515694,-79.3627396,40
-79.3187103,43.7599258,241,2243955,2007,D33,Stabbing,2007-06-05T04:00:00.000Z,45,Parkwoods-Donalda (45),43.7599258,-79.3187103,41
-79.5783081,43.735508,242,2066379,2007,D23,Shooting,2007-06-09T04:00:00.000Z,3,Thistletown-Beaumond Heights (3),43.735508,-79.5783081,42
-79.3980484,43.6529465,243,2055785,2007,D14,Other,2007-05-30T04:00:00.000Z,78,Kensington-Chinatown (78),43.6529465,-79.3980484,43
